date,işsizlik maaşı,işsizlik ödeneği,işsizlik başvurusu,işsizlik ödeneği nasıl alınır,işkur başvuru,sgk işten çıkış,işten çıkarılma tazminatı,kıdem tazminatı hesaplama,ihbar tazminatı,iş ilanı,iş arama,iş başvurusu,işkur,özgeçmiş,kariyer.net,mülakat soruları,ek iş,memur alımı,fabrika işçi alımı,güvenlik görevlisi alımı,işsizlik
2012-04-01,13.12253296380281,0.16666666666666666,0.09090909090909091,0.0,2.6245065927605618,0.55,0.04,1.5,1.225,18.371546149323933,0.8,52.49013185521124,244.95394865765243,2.7142857142857144,62.98815822625348,1.34375,1.2,29.823938554097293,0.0,0.16,21.324116066179563
2012-05-01,13.12253296380281,0.16666666666666666,0.12121212121212122,0.0,2.6245065927605618,0.5875,0.03,1.6875,1.375,18.371546149323933,0.82,49.86562526245067,253.7023039668543,2.892857142857143,62.98815822625348,2.5625,1.24,31.812201124370446,0.0,0.11,21.324116066179563
2012-06-01,13.12253296380281,0.16666666666666666,0.24242424242424243,0.0,3.9367598891408426,0.725,0.03,1.875,1.3,20.996052742084494,0.9,62.98815822625348,244.95394865765243,2.4642857142857144,78.73519778281685,1.6875,3.28,43.74177654600936,0.0,0.14,21.324116066179563
2012-07-01,15.74703955656337,0.16666666666666666,0.2727272727272727,0.0,3.9367598891408426,1.05,0.03,2.5,1.55,26.24506592760562,0.94,68.23717141177461,358.6825676772768,2.392857142857143,94.48223733938022,1.5,2.12,37.776988835189904,0.0,0.1,22.964432686654913
2012-08-01,15.74703955656337,0.16666666666666666,0.15151515151515152,0.0,3.9367598891408426,0.8625,0.0,1.5625,1.45,24.932812631225335,0.82,64.30041152263377,297.44408051286365,2.5,89.2332241538591,1.46875,1.52,35.78872626491675,0.0,0.1,22.964432686654913
2012-09-01,15.74703955656337,0.16666666666666666,0.15151515151515152,0.0,5.2490131855211235,1.0625,0.03,1.5,1.35,28.86957252036618,0.98,99.73125052490134,358.6825676772768,3.25,89.2332241538591,2.125,2.36,53.68308939737513,0.0,0.13,22.964432686654913
2012-10-01,14.43478626018309,0.25,0.15151515151515152,0.0,3.9367598891408426,0.6125,0.03,1.3125,1.2,22.308306038464774,0.78,62.98815822625348,314.9407911312674,2.857142857142857,73.48618459729573,1.90625,1.68,39.765251405463054,0.0,0.13,22.964432686654913
2012-11-01,14.43478626018309,0.25,0.30303030303030304,0.0,3.9367598891408426,0.575,0.0,1.4375,1.325,23.620559334845055,0.9,61.6759049298732,358.6825676772768,2.75,68.23717141177461,1.6875,1.4,69.58918995956034,0.2852571428571428,0.12,22.964432686654913
2012-12-01,14.43478626018309,0.25,0.15151515151515152,0.0,5.2490131855211235,0.425,0.03,1.4375,1.275,22.308306038464774,0.8,56.426891744352076,384.9276336048824,2.5714285714285716,62.98815822625348,2.21875,1.32,51.69482682710197,0.41005714285714284,0.13,22.964432686654913
2013-01-01,17.059292852943653,0.25,0.12121212121212122,0.0,3.9367598891408426,0.55,0.03,1.875,1.4,23.620559334845055,0.74,56.426891744352076,384.9276336048824,2.5714285714285716,62.98815822625348,1.65625,1.4,43.74177654600936,0.25851428571428575,0.23,24.604749307130266
