Tarih,actual,ARDL_all,ARDL_sel,AR_direct
2022-11-01,10.1,10.471560674092977,10.112609463159796,10.020980843840173
2022-12-01,10.4,10.692815672925647,10.511877670116823,10.369802070982526
2023-01-01,9.7,10.38688306265839,10.41721346325128,10.17044290249687
2023-02-01,10.0,10.398799796460139,10.45762612438241,10.353736662927693
2023-03-01,10.1,10.114832794145416,10.041422239227202,9.818287204090494
2023-04-01,10.1,10.099249143294216,9.983925945487666,9.85710945381222
2023-05-01,9.5,10.315841457124987,10.302831267860485,10.178396272597741
2023-06-01,9.3,10.218218066941184,10.28027596395744,10.139496429060683
2023-07-01,9.4,9.768395038778959,9.802833967247597,9.565811256605768
2023-08-01,9.2,9.450608717493717,9.42735908914977,9.232284368659682
2023-09-01,9.0,9.530492132744456,9.563313578182006,9.391880476740543
2023-10-01,8.5,9.403492531865373,9.444048536977862,9.271242597855185
2023-11-01,8.9,9.168271601546328,9.165130873883154,9.016163683599107
2023-12-01,8.9,8.686033897365373,8.73606114031712,8.537659726503643
2024-01-01,9.2,8.946037842266616,9.068146937198488,8.828233744972469
2024-02-01,8.6,9.324136141792918,9.202464327475834,9.022505974392391
2024-03-01,8.8,9.30227689030782,9.34926500842206,9.226979872588338
2024-04-01,8.6,8.884905844878041,8.902640978813958,8.731992030910785
2024-05-01,8.4,8.831922184727226,8.92952991497606,8.728793731479747
2024-06-01,9.1,8.796721143528565,8.889299051047754,8.690800855807531
2024-07-01,9.0,8.587552072692581,8.674697708450013,8.424066415927419
2024-08-01,8.5,9.1291134389929,9.229114809201281,9.059783865885077
2024-09-01,8.6,9.333627003898318,9.347619295924963,9.174341628869582
2024-10-01,8.7,8.738324881933702,8.733919321128292,8.571648944905556
2024-11-01,8.4,8.623250500574636,8.693485380573355,8.552625818561982
2024-12-01,8.7,8.841996874966895,8.922685461458599,8.747955088717415
2025-01-01,8.5,8.577841326730676,8.708280370013897,8.487469646775548
2025-02-01,8.2,9.237130221937978,8.8654156644536,8.66410100661156
2025-03-01,8.0,8.689271285771367,8.74055287751398,8.60874311082078
2025-04-01,8.6,8.357837425897685,8.383112556231168,8.238807853658491
2025-05-01,8.4,8.378985783350942,8.1548336317454,8.011675038246892
2025-06-01,8.5,8.622310765735763,8.69744789022662,8.546599802706332
2025-07-01,8.1,8.603746985829083,8.738560243337114,8.551280694576253
2025-08-01,8.5,8.599371457467644,8.615846379068685,8.498481903310122
2025-09-01,8.6,8.344079728781951,8.335412387166855,8.192705688010276
2025-10-01,8.5,8.668497149551548,8.5317138660476,8.439424343572561
2025-11-01,8.6,8.832175243072914,8.78133517050097,8.68055768884298
2025-12-01,7.9,8.624873362693126,8.668380877129335,8.560945611733027
