Tarih,actual,frozen PLS1   p3 K0,frozen PLS1   p3 K2,recursive PLS1 p3 K0,recursive PLS1 p3 K1,recursive PLS1 p3 K2,recursive PLS1 p2 K2,recursive PLS1+2 p3 K2
2025-02-01,8.2,8.921948618632925,9.005418161511063,8.901334180153153,8.89449876521772,8.936520452176314,8.971330492427114,8.900210826926617
2025-03-01,8.0,8.705937470984217,8.730589724441192,8.75096881588748,8.760206143927794,8.71360507387382,8.674985481142409,8.614879078718058
2025-04-01,8.6,8.43068902965675,8.641636407428402,8.364993414762527,8.374962667590818,8.406843774138999,8.430055295649366,8.425984055661438
2025-05-01,8.4,8.080805482643722,8.205706967366869,8.259026220977578,8.25546053119434,8.29446418728886,8.33120394306112,8.259991879345453
2025-06-01,8.5,8.611537905671685,8.703690064690539,8.670702250846233,8.678353192055889,8.646847039524593,8.652175440259313,8.57318273419861
2025-07-01,8.1,8.540258271156613,8.482465577779747,8.703176495955645,8.704515329052828,8.733527554179467,8.677833154908447,8.56352576434436
2025-08-01,8.5,8.544993586588618,8.637296766166504,8.6577239456253,8.659581687420884,8.668080058780403,8.683084053939822,8.590075658838929
2025-09-01,8.6,8.16504457846329,8.228961795175922,8.26152478180143,8.26363182461402,8.277025963408578,8.266817406961135,8.076850913468078
2025-10-01,8.5,8.477624336910589,8.532507239246328,8.530738139425349,8.529792958882688,8.582154034309708,8.614580834067446,8.472307927718708
2025-11-01,8.6,8.608316240729483,8.516389899678716,8.776158290102085,8.775876804979317,8.757412419065211,8.719746549450251,8.552624997831462
2025-12-01,7.9,8.479115892282758,8.535630991955742,8.663747448998748,8.66637343311705,8.658404733367309,8.64615029485079,8.493394309153954
