Tarih,actual,rolling_nolasso,AR1,B5_LASSO
2023-12-01,8.9,8.52073261809253,8.593214211888558,8.55081860233048
2024-01-01,9.2,8.928738342716063,8.9824460995798,8.931448739904404
2024-02-01,8.6,9.046757344970395,8.9815610816266,8.99009999191612
2024-03-01,8.8,9.272321612605301,9.271476421312816,9.272235555049624
2024-04-01,8.6,8.81201264854788,8.690007058341411,8.757161131847425
2024-05-01,8.4,9.036602552617257,8.88377384366396,9.03662010242404
2024-06-01,9.1,8.734290522170584,8.688338512857696,8.602273492636524
2024-07-01,9.0,8.659495856578078,8.492040484062986,8.670158884822843
2024-08-01,8.5,9.143309363302855,9.171925713671389,9.22730259664424
2024-09-01,8.6,8.98296626947809,9.07453592159041,9.075817702389283
2024-10-01,8.7,8.602785408927211,8.590521836379908,8.628352508786744
2024-11-01,8.4,8.655756041834854,8.68701239195412,8.699059901292909
2024-12-01,8.7,8.773858960061876,8.783334518558322,8.815774220787267
2025-01-01,8.5,8.440057791169668,8.490365973165652,8.48252335566274
2025-02-01,8.2,8.67427495623022,8.782106137538493,8.748359924993972
2025-03-01,8.0,8.443700258582783,8.58663219415793,8.554942824792397
2025-04-01,8.6,8.20070843601123,8.292557150647319,8.237611864160822
2025-05-01,8.4,8.064241705358745,8.095018925146963,8.10088179044738
2025-06-01,8.5,8.73074648313631,8.682459988120645,8.692383526164717
2025-07-01,8.1,8.458402005665846,8.485544119088097,8.479198754084408
2025-08-01,8.5,8.583553141030443,8.582807795506016,8.563532052765328
2025-09-01,8.6,8.251889464690876,8.191904782400595,8.142470315166726
